Bank/FI,Name,Minimum Balance,Tenure (Months),Interest Rate (%),YoY Interest Rate Change (%),3-Year MA Interest Rate
Everest Bank,Fixed Deposit-Above5Y,0.0,60.96,6.0,0.0,6.0
NMB Bank,Fixed Deposit->3Yto5Y,0.0,36.96,6.0,0.0,6.0
Progressive,Fixed Deposit-9M,0.0,9.0,6.0,0.0,6.0
Pokhara Finan.,Fixed Deposit-90Days,0.0,3.0,6.0,0.0,6.0
Samriddhi Fin,Fixed Deposit-9 month,0.0,9.0,6.0,0.0,6.0
Guheshwori,Fixed Deposit-1Yto<2Y,0.0,12.0,6.0,0.0,6.0
ICFC Finance,Fixed Deposit-1Yto<2Y,0.0,12.0,6.0,0.0,6.0
Reliance Fin.,Fixed Deposit-9M,0.0,9.0,6.0,0.0,6.0
Prime Bank,Fixed Deposit-1Y,0.0,12.0,6.0,0.0,6.0
Shine Resunga,Fixed Deposit-3Yto<4Y,0.0,36.0,6.0,0.0,6.0
Central Fin,Fixed Deposit-9 Month,0.0,9.0,6.0,0.0,6.0
Shangrila Dev.,Fixed Deposit-1Y,0.0,12.0,6.0,0.0,6.0
Manjushree,Fixed Deposit-1Yto<3Y,0.0,12.0,6.0,0.0,6.0
Excel Bikas,Fixed Deposit-1Yto<3Y,0.0,12.0,6.0,0.0,6.0
Multipurpose,Fixed Deposit-6M,0.0,6.0,6.0,0.0,6.0
Shree Invest,Fixed Deposit-1Yto2Y,0.0,12.0,6.0,0.0,6.0
Siddhartha,Fixed Deposit->2Y,0.0,24.96,6.0,0.0,6.0
Machhapuchhre,Fixed Deposit-3Y&above,0.0,36.0,6.0,0.0,6.0
Global IME,Fixed Deposit-3Y&above,0.0,36.0,6.0,0.0,6.0
Sanima Bank,Fixed Deposit->2Yto3Y,0.0,24.96,5.85,-2.500000000000002,5.95
Kumari Bank,Fixed Deposit-2Y&above,0.0,24.0,5.81,-0.6837606837606813,5.886666666666667
Multipurpose,Fixed Deposit-3M,0.0,3.0,5.8,-0.1721170395869165,5.82
Muktinath,Fixed Deposit-1Yto2Y,0.0,12.0,5.8,0.0,5.803333333333334
Green Develop.,Fixed Deposit-3M,0.0,3.0,5.75,-0.8620689655172376,5.783333333333334
Shine Resunga,Fixed Deposit-2Yto<3Y,0.0,24.0,5.75,0.0,5.766666666666667
Prime Bank,Fixed Deposit-6Mto<1Y,0.0,6.0,5.75,0.0,5.75
Progressive,Fixed Deposit- 6M,0.0,6.0,5.75,0.0,5.75
Samriddhi Fin,Fixed Deposit-6 month,0.0,6.0,5.75,0.0,5.75
Guheshwori,Fixed Deposit-6Mto9M,0.0,6.0,5.75,0.0,5.75
Reliance Fin.,Fixed Deposit- 6M,0.0,6.0,5.75,0.0,5.75
Central Fin,Fixed Deposit-6 month,0.0,6.0,5.75,0.0,5.75
Global IME,Fixed Deposit-2Yto<3Y,0.0,24.0,5.75,0.0,5.75
Nabil Bank,Fixed Deposit-Above5Y,0.0,60.96,5.75,0.0,5.75
Sanima Bank,Fixed Deposit->1Yto2Y,0.0,12.96,5.75,0.0,5.75
Laxmi Sunrise,Fixed Deposit-5Y&above,0.0,60.0,5.75,0.0,5.75
Citizens Bank,Fixed Deposit-2Y&above,0.0,24.0,5.65,-1.7391304347825987,5.716666666666666
Prabhu Bank,Fixed Deposit->1Yto5Y,0.0,12.0,5.6,-0.8849557522124019,5.666666666666667
Janaki Finan.,Fixed Deposit-3 Month,0.0,3.0,5.6,0.0,5.616666666666666
Goodwill Finan.,Fixed Deposit-9M,0.0,9.0,5.6,0.0,5.6
Krishi Bikas,Fixed Deposit-3Y&above,0.0,36.0,5.51,-1.6071428571428514,5.569999999999999
Nepal Bank,Fixed Deposit->5Y,0.0,60.96,5.5,-0.1814882032667886,5.536666666666666
Shine Resunga,Fixed Deposit-1Yto<2Y,0.0,12.0,5.5,0.0,5.503333333333333
Goodwill Finan.,Fixed Deposit-6M,0.0,6.0,5.5,0.0,5.5
Shree Invest,Fixed Deposit-6M,0.0,6.0,5.5,0.0,5.5
Himalayan,Fixed Deposit->2Yto5Y,0.0,24.96,5.5,0.0,5.5
Nepal SBI,Fixed Deposit-3Y&above,0.0,36.0,5.5,0.0,5.5
