,Bank/FI,Name,Interest Rate,Minimum Balance,Tenure
290,Kumari Bank,Fixed Deposit-1Yto<2Y,0.0541,0.0,1 year
291,Kumari Bank,,,,
292,Best Finance,Fixed Deposit->6Mto1Y,0.0535,0.0,7 months
293,Best Finance Co.,,,,
294,Citizens Bank,Fixed Deposit-1Yto<2Y,0.0525,0.0,1 year
295,Citizens Bank Int'l,,,,
296,Mahalaxmi,Fixed Deposit-1Yto<3Y,0.0525,0.0,1 year
297,Mahalaxmi Bikas Bank,,,,
298,Lumbini Bikas,Fixed Deposit->1Yto2Y,0.0525,0.0,1.08 years
299,Lumbini Bikas Bank,,,,
300,Kamana Sewa,Fixed Deposit-1Yto<2Y,0.0525,0.0,1 year
301,Kamana Sewa B.Bank,,,,
302,Goodwill Finan.,Fixed Deposit-3M,0.0525,0.0,3 months
303,Goodwill Finance Co.,,,,
304,Nabil Bank,Fixed Deposit->1Yto2Y,0.0525,0.0,1.08 years
305,Nabil Bank,,,,
306,Guheshwori,Fixed Deposit-3M,0.0525,0.0,3 months
307,Guheshwori Finance,,,,
308,Manjushree,Fixed Deposit-3Mto<6M,0.0525,0.0,3 months
309,Manjushree Finance,,,,
310,Reliance Fin.,Fixed Deposit-3M,0.0525,0.0,3 months
311,Reliance Finance Ltd.,,,,
312,Mahalaxmi,Fixed Deposit-6M<1Y,0.0515,0.0,6 months
313,Mahalaxmi Bikas Bank,,,,
314,Lumbini Bikas,Fixed Deposit-6Mto1Y,0.051,0.0,6 months
315,Lumbini Bikas Bank,,,,
316,Prabhu Bank,FD-6Mto1Y,0.051,0.0,6 months
317,Prabhu Bank,,,,
318,Miteri Bikas,Fixed Deposit-6Mto9M,0.05,0.0,6 months
319,Miteri Bikas Bank,,,,
320,Shangrila Dev.,Fixed Deposit-6Mto<1Y,0.05,0.0,6 months
321,Shangrila Bikas Bank,,,,
322,RBB,Fixed Deposit-1Yto2Y,0.05,0.0,1 year
323,Rastriya Banijya Bank,,,,
324,Nabil Bank,Fixed Deposit-3Mto1Y,0.05,0.0,3 months
325,Nabil Bank,,,,
326,Nabil Bank,Cumulative FD,0.05,0.0,1 year
327,Nabil Bank,,,,
328,NIMB,Fixed Deposit->6Mto1Y,0.05,0.0,7 months
329,Nepal Investment Mega Bank,,,,
330,Himalayan,Fixed Deposit-1Yto2Y,0.05,0.0,1 year
331,Himalayan Bank,,,,
332,Nepal SBI,Fixed Deposit-2Yto<3Y,0.05,0.0,2 years
333,Nepal SBI Bank,,,,
334,Machhapuchhre,Fixed Deposit-1Yto<3Y,0.05,0.0,1 year
335,Machhapuchhre Bank,,,,
336,Sanima Bank,Fixed Depsit- >6Mto1Y,0.05,0.0,7 months
337,Sanima Bank,,,,
338,Best Finance,Fixed Deposit->3Mto6M,0.05,0.0,4 months
339,Best Finance Co.,,,,
340,Global IME,Fixed Deposit-1Yto<2Y,0.05,0.0,1 year
341,Global IME Bank,,,,
342,Muktinath,Fixed Deposit-9Mto<1Y,0.05,0.0,9 months
343,Muktinath Bikas Bank,,,,
344,Laxmi Sunrise,Fixed Deposit-1Yto<2Y,0.05,0.0,1 year
345,Laxmi Sunrise,,,,
346,Mahalaxmi,Fixed Deposit-3Mto<6M,0.0485,0.0,3 months
347,Mahalaxmi Bikas Bank,,,,
348,Kumari Bank,Fixed Deposit-6Mto<1Y,0.0481,0.0,6 months
349,Kumari Bank,,,,
350,Nepal Bank,Fixed Deposit->2Yto5Y,0.0475,0.0,2.08 years
351,Nepal Bank Ltd.,,,,
352,Miteri Bikas,Fixed Deposit-3Mto6M,0.0475,0.0,3 months
353,Miteri Bikas Bank,,,,
354,Citizens Bank,Fixed Deposit-6Mto<1Y,0.0475,0.0,6 months
355,Citizens Bank Int'l,,,,
356,Best Finance,Fixed Deposit-3 month,0.0475,0.0,3 months
357,Best Finance Co.,,,,
358,Excel Bikas,Fixed Deposit-9M,0.0465,0.0,9 months
359,Excel Bikas Bank,,,,
360,Siddhartha,Fixed Deposit-3Mto<1Y,0.046,0.0,3 months
361,Siddhartha Bank,,,,
362,Nepal SBI,Fixed Deposit-1Yto<2Y,0.0451,0.0,1 year
363,Nepal SBI Bank,,,,
364,Muktinath,Fixed Deposit-6M,0.045,0.0,6 months
365,Muktinath Bikas Bank,,,,
366,Shine Resunga,Fixed Deposit-6Mto<1Y,0.045,0.0,6 months
367,Shine Resunga BB,,,,
368,Jyoti Bikas,Fixed Deposit->1Yto<3Y,0.045,0.0,1.08 years
369,Jyoti Bikas Bank,,,,
370,Garima Bikas,Fixed Deposit-1Yto<2Y,0.045,0.0,1 year
371,Garima Bikas Bank,,,,
372,Kamana Sewa,Fixed Deposit-6Mto<1Y,0.045,0.0,6 months
373,Kamana Sewa B.Bank,,,,
374,Himalayan,Fixed Deposit-9M,0.045,0.0,9 months
375,Himalayan Bank,,,,
376,Everest Bank,Fixed Deposit->2Yto5Y,0.045,0.0,2.08 years
377,Everest Bank,,,,
378,Global IME,Fixed Deposit-6Mto<1Y,0.045,0.0,6 months
379,Global IME Bank,,,,
380,Citizens Bank,Fixed Deposit-3Mto<6M,0.045,0.0,3 months
381,Citizens Bank Int'l,,,,
382,NMB Bank,Fixed Deposit->13Mto2Y,0.045,0.0,1 year
383,NMB Bank,,,,
384,Laxmi Sunrise,Fixed Deposit-6Mto<1Y,0.045,0.0,6 months
385,Laxmi Sunrise,,,,
386,Excel Bikas,Fixed Deposit-6M,0.044,0.0,6 months
387,Excel Bikas Bank,,,,
388,ICFC Finance,Fixed Deposit-6Mto<1Y,0.044,0.0,6 months
389,ICFC Finance Ltd,,,,
390,Kumari Bank,Fixed Deposit-3Mto<6M,0.0431,0.0,3 months
391,Kumari Bank,,,,
392,Nepal SBI,Fixed Deposit-6Mto<1Y,0.043,0.0,6 months
393,Nepal SBI Bank,,,,
394,NIMB,Fixed Deposit-3Mto6M,0.0425,0.0,3 months
395,Nepal Investment Mega Bank,,,,
396,SCB,Fixed Deposit-1Yto<5Y,0.0425,0.0,1 year
397,Standard Chartered Bank,,,,
398,NMB Bank,Manyajan Muddati,0.0425,0.0,1 year
399,NMB Bank,,,,
400,NMB Bank,Fixed Deposit->6Mto13M,0.0425,0.0,7 months
401,NMB Bank,,,,
402,Everest Bank,Fixed Deposit-1Yto2Y,0.0425,0.0,1 year
403,Everest Bank,,,,
404,Krishi Bikas,Fixed Depsit-2Year,0.0424,0.0,2 years
405,Agricultural Dev. Bank,,,,
406,Excel Bikas,Fixed Deposit-3M,0.0415,0.0,3 months
407,Excel Bikas Bank,,,,
408,Global IME,Fixed Deposit-3Mto<6M,0.04,0.0,3 months
409,Global IME Bank,,,,
410,Shangrila Dev.,Fixed Deposit-3Mto<6M,0.04,0.0,3 months
411,Shangrila Bikas Bank,,,,
412,Jyoti Bikas,Fixed Deposit-1Year,0.04,0.0,1 year
413,Jyoti Bikas Bank,,,,
414,Nepal Bank,Fixed Deposit-Upto2Year,0.04,0.0,3 months
415,Nepal Bank Ltd.,,,,
416,Garima Bikas,Fixed Deposit-6Mto<1Y,0.04,0.0,6 months
417,Garima Bikas Bank,,,,
418,Kamana Sewa,Fixed Deposit-3Mto<6M,0.04,0.0,3 months
419,Kamana Sewa B.Bank,,,,
420,RBB,Fixed Deposit-3Mto1Y,0.04,0.0,3 months
421,Rastriya Banijya Bank,,,,
422,SCB,Fixed Deposit-3Mto<1Y,0.04,0.0,3 months
423,Standard Chartered Bank,,,,
424,Himalayan,Fixed Deposit-6M,0.04,0.0,6 months
425,Himalayan Bank,,,,
426,Everest Bank,Fixed Deposit-3Mto<1Y,0.04,0.0,3 months
427,Everest Bank,,,,
428,Laxmi Sunrise,Fixed Deposit-3Mto<6M,0.04,0.0,3 months
429,Laxmi Sunrise,,,,
430,Krishi Bikas,Fixed Deposit-1Y,0.04,0.0,1 year
431,Agricultural Dev. Bank,,,,
432,Sanima Bank,Fixed Deposit-3Mto6M,0.04,0.0,3 months
433,Sanima Bank,,,,
434,NIC Asia,Fixed Deposit->3Mto<1Y,0.04,0.0,4 months
435,NIC ASIA Bank,,,,
436,ICFC Finance,Fixed Deposit-3Mto<1Y,0.04,0.0,3 months
437,ICFC Finance Ltd,,,,
438,Garima Bikas,Fixed Deposit-3Mto<6M,0.0375,0.0,3 months
439,Garima Bikas Bank,,,,
440,Machhapuchhre,Fixed Deposit-6Mto<1Y,0.0375,0.0,6 months
441,Machhapuchhre Bank,,,,
442,Jyoti Bikas,Fixed Deposit-6Mto<1Y,0.035,0.0,6 months
443,Jyoti Bikas Bank,,,,
444,Nepal SBI,Fixed Deposit-3Mto<6M,0.035,0.0,3 months
